"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","direction","screen_duration","acceleration","start_time","initial_speed","final_speed","correct_response","correct","key_response","ball_start_time","ball_end_time","key_press_time","rt_from_ball","practice","extreme","subject_id","study_id","session_id","right_bias","left_bias","recodeDir","recodeKey"
"","","","","","moving-image",203,1321304,"0.0-5.7-0.180-0.180",3064,"","","DOWN",1500,3.54,1000,0.278333333333333,5.58833333333333,"a","false","d",1003,2500,3064,564,"false","false","6078941143fd5306c860164f","649333f3a54f0d623a537f0c","6493357f1e0e71d41dbc6325","Positive","Negative","DOWN",0
"","","","","","moving-image",205,1327038,"0.0-5.7-0.182-0.182",2325,"","","DOWN",1000,0,1000,4.4,4.4,"d","true","d",1000,1991,2324,333,"false","false","6078941143fd5306c860164f","649333f3a54f0d623a537f0c","6493357f1e0e71d41dbc6325","Positive","Negative","DOWN",0
"","","","","","moving-image",206,1334056,"0.0-5.7-0.183-0.183",6481,"","","LEFT",1500,-2.1,1000,4.50833333333333,1.35833333333333,"d","false","a",1001,2483,6481,3998,"false","false","6078941143fd5306c860164f","649333f3a54f0d623a537f0c","6493357f1e0e71d41dbc6325","Positive","Negative","DECELERATING",1
"","","","","","moving-image",207,1337222,"0.0-5.7-0.184-0.184",2624,"","","DOWN",1000,1.6,1000,3.6,5.2,"a","false","d",1000,2001,2624,623,"false","false","6078941143fd5306c860164f","649333f3a54f0d623a537f0c","6493357f1e0e71d41dbc6325","Positive","Negative","DOWN",0
"","","","","","moving-image",208,1344407,"0.0-5.7-0.185-0.185",6660,"","","RIGHT",1000,3.2,1000,2.8,6,"a","false","d",1003,2001,6660,4659,"false","false","6078941143fd5306c860164f","649333f3a54f0d623a537f0c","6493357f1e0e71d41dbc6325","Positive","Negative","ACCELERATING",0
"","","","","","moving-image",209,1351202,"0.0-5.7-0.186-0.186",6251,"","","DOWN",1500,-2.1,1000,4.50833333333333,1.35833333333333,"d","true","d",1002,2481,6251,3770,"false","false","6078941143fd5306c860164f","649333f3a54f0d623a537f0c","6493357f1e0e71d41dbc6325","Positive","Negative","DOWN",0
"","","","","","moving-image",210,1354851,"0.0-5.7-0.187-0.187",3109,"","","LEFT",1000,1.06666,1000,3.86667,4.93333,"a","false","d",1003,2003,3108,1105,"false","false","6078941143fd5306c860164f","649333f3a54f0d623a537f0c","6493357f1e0e71d41dbc6325","Positive","Negative","DECELERATING",0
"","","","","","moving-image",211,1358460,"0.0-5.7-0.188-0.188",3070,"","","UP",1500,1.06666,1000,2.13333833333333,3.73332833333333,"a","false","d",1005,2498,3070,572,"false","false","6078941143fd5306c860164f","649333f3a54f0d623a537f0c","6493357f1e0e71d41dbc6325","Positive","Negative","UP",0
"","","","","","moving-image",212,1364052,"0.0-5.7-0.189-0.189",5046,"","","RIGHT",1000,3.2,1000,2.8,6,"a","false","d",1008,2007,5046,3039,"false","false","6078941143fd5306c860164f","649333f3a54f0d623a537f0c","6493357f1e0e71d41dbc6325","Positive","Negative","ACCELERATING",0
"","","","","","moving-image",213,1369337,"0.0-5.7-0.190-0.190",4744,"","","UP",1500,0.7,1000,2.40833333333333,3.45833333333333,"a","true","a",1003,2498,4744,2246,"false","false","6078941143fd5306c860164f","649333f3a54f0d623a537f0c","6493357f1e0e71d41dbc6325","Positive","Negative","UP",1
"","","","","","moving-image",214,1372638,"0.0-5.7-0.191-0.191",2755,"","","LEFT",1000,-3.2,1000,6,2.8,"d","true","d",1001,2001,2754,753,"false","false","6078941143fd5306c860164f","649333f3a54f0d623a537f0c","6493357f1e0e71d41dbc6325","Positive","Negative","DECELERATING",0
"","","","","","moving-image",215,1375524,"0.0-5.7-0.192-0.192",2356,"","","DOWN",1000,-3.2,1000,6,2.8,"d","false","a",1004,1994,2363,369,"false","false","6078941143fd5306c860164f","649333f3a54f0d623a537f0c","6493357f1e0e71d41dbc6325","Positive","Negative","DOWN",1
"","","","","","moving-image",216,1378861,"0.0-5.7-0.193-0.193",2814,"","","LEFT",1500,0.7,1000,2.40833333333333,3.45833333333333,"a","false","d",1005,2499,2814,315,"false","false","6078941143fd5306c860164f","649333f3a54f0d623a537f0c","6493357f1e0e71d41dbc6325","Positive","Negative","DECELERATING",0
"","","","","","moving-image",217,1385498,"0.0-5.7-0.194-0.194",6110,"","","DOWN",1500,0.7,1000,2.40833333333333,3.45833333333333,"a","false","d",1000,2499,6109,3610,"false","false","6078941143fd5306c860164f","649333f3a54f0d623a537f0c","6493357f1e0e71d41dbc6325","Positive","Negative","DOWN",0
"","","","","","moving-image",218,1389561,"0.0-5.7-0.195-0.195",3520,"","","LEFT",1000,0,1000,4.4,4.4,"d","false","a",1005,1991,3519,1528,"false","false","6078941143fd5306c860164f","649333f3a54f0d623a537f0c","6493357f1e0e71d41dbc6325","Positive","Negative","DECELERATING",1
"","","","","","moving-image",219,1392695,"0.0-5.7-0.196-0.196",2591,"","","UP",1500,-0.7,1000,3.45833333333333,2.40833333333333,"d","false","a",1001,2498,2591,93,"false","false","6078941143fd5306c860164f","649333f3a54f0d623a537f0c","6493357f1e0e71d41dbc6325","Positive","Negative","UP",1
"","","","","","moving-image",220,1460139,"0.0-5.7-0.197-0.197",66912,"","","LEFT",1000,-1.6,1000,5.2,3.6,"d","false","a",1001,2002,66905,64903,"false","false","6078941143fd5306c860164f","649333f3a54f0d623a537f0c","6493357f1e0e71d41dbc6325","Positive","Negative","DECELERATING",1
"","","","","","moving-image",221,1463440,"0.0-5.7-0.198-0.198",2758,"","","UP",1500,2.1,1000,1.35833333333333,4.50833333333333,"a","false","d",1004,2499,2758,259,"false","false","6078941143fd5306c860164f","649333f3a54f0d623a537f0c","6493357f1e0e71d41dbc6325","Positive","Negative","UP",0
"","","","","","moving-image",222,1466682,"0.0-5.7-0.199-0.199",2694,"","","LEFT",1500,-2.8,1000,5.03333333333333,0.833333333333334,"d","false","a",1001,2468,2693,225,"false","false","6078941143fd5306c860164f","649333f3a54f0d623a537f0c","6493357f1e0e71d41dbc6325","Positive","Negative","DECELERATING",1
"","","","","","moving-image",3,42540,"0.0-3.0-0.0",4913,"","","UP",1500,-1.06666,1000,3.73332833333333,2.13333833333333,"d","true","d",1005,2485,4914,2429,"true","false","5ee2e014012a21833cc6d4f5","649333f3a54f0d623a537f0c","649339dc83d9a622a67f08fd","Negative","Positive","UP",0
"","","","","","moving-image",5,51287,"0.0-3.2-0.2",3289,"","","UP",1500,-1.06666,1000,3.73332833333333,2.13333833333333,"d","false","a",1001,2498,3289,791,"true","false","5ee2e014012a21833cc6d4f5","649333f3a54f0d623a537f0c","649339dc83d9a622a67f08fd","Negative","Positive","UP",1
"","","","","","moving-image",7,59586,"0.0-3.4-0.4",2937,"","","UP",1500,2.1,1000,1.35833333333333,4.50833333333333,"a","true","a",1007,2496,2936,440,"true","false","5ee2e014012a21833cc6d4f5","649333f3a54f0d623a537f0c","649339dc83d9a622a67f08fd","Negative","Positive","UP",1
"","","","","","moving-image",8,63989,"0.0-3.5-0.5",2891,"","","RIGHT",1000,-3.2,1000,6,2.8,"d","true","d",1002,1990,2890,900,"true","false","5ee2e014012a21833cc6d4f5","649333f3a54f0d623a537f0c","649339dc83d9a622a67f08fd","Negative","Positive","DECELERATING",0
"","","","","","moving-image",9,68217,"0.0-3.6-0.6",2715,"","","DOWN",1500,3.54,1000,0.278333333333333,5.58833333333333,"a","true","a",1004,2502,2715,213,"true","false","5ee2e014012a21833cc6d4f5","649333f3a54f0d623a537f0c","649339dc83d9a622a67f08fd","Negative","Positive","DOWN",1
"","","","","","moving-image",11,77083,"0.0-3.8-0.8",3516,"","","UP",1500,1.06666,1000,2.13333833333333,3.73332833333333,"a","true","a",1008,2497,3516,1019,"true","false","5ee2e014012a21833cc6d4f5","649333f3a54f0d623a537f0c","649339dc83d9a622a67f08fd","Negative","Positive","UP",1
"","","","","","moving-image",13,86208,"0.0-3.10-0.10",3712,"","","UP",1500,0.7,1000,2.40833333333333,3.45833333333333,"a","true","a",1005,2499,3712,1213,"true","false","5ee2e014012a21833cc6d4f5","649333f3a54f0d623a537f0c","649339dc83d9a622a67f08fd","Negative","Positive","UP",1
"","","","","","moving-image",14,90480,"0.0-3.11-0.11",2764,"","","LEFT",1500,3.54,1000,0.278333333333333,5.58833333333333,"a","true","a",1001,2500,2764,264,"true","false","5ee2e014012a21833cc6d4f5","649333f3a54f0d623a537f0c","649339dc83d9a622a67f08fd","Negative","Positive","ACCELERATING",1
"","","","","","moving-image",16,100460,"0.0-5.0-0.0-0.0",2771,"","","DOWN",1500,1.06666,1000,2.13333833333333,3.73332833333333,"a","true","a",1002,2497,2771,274,"false","false","5ee2e014012a21833cc6d4f5","649333f3a54f0d623a537f0c","649339dc83d9a622a67f08fd","Negative","Positive","DOWN",1
"","","","","","moving-image",18,106377,"0.0-5.0-0.2-0.2",2755,"","","DOWN",1500,0.7,1000,2.40833333333333,3.45833333333333,"a","true","a",1000,2500,2755,255,"false","false","5ee2e014012a21833cc6d4f5","649333f3a54f0d623a537f0c","649339dc83d9a622a67f08fd","Negative","Positive","DOWN",1
"","","","","","moving-image",20,113613,"0.0-5.0-0.4-0.4",3940,"","","DOWN",1000,0,1000,4.4,4.4,"d","false","a",1000,2004,3940,1936,"false","false","5ee2e014012a21833cc6d4f5","649333f3a54f0d623a537f0c","649339dc83d9a622a67f08fd","Negative","Positive","DOWN",1
"","","","","","moving-image",21,116866,"0.0-5.0-0.5-0.5",2743,"","","LEFT",1500,3.54,1000,0.278333333333333,5.58833333333333,"a","true","a",1008,2504,2744,240,"false","false","5ee2e014012a21833cc6d4f5","649333f3a54f0d623a537f0c","649339dc83d9a622a67f08fd","Negative","Positive","ACCELERATING",1
